data; 
param n := 16; 
param c1:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 := 
1  883 357 607 704 709 586 211 740 372 23 792 189 268 650 377 82
2  208 457 501 173 882 584 969 330 376 191 973 915 268 953 103 566
3  556 477 636 482 920 2 250 6 337 462 947 261 91 350 585 657
4  618 865 833 298 401 507 787 764 371 607 752 202 862 303 897 441
5  192 109 575 656 378 540 117 123 319 212 817 799 12 480 643 752
6  39 926 922 988 577 972 904 818 669 463 607 730 355 318 825 674
7  516 265 507 776 982 200 969 745 518 979 592 681 815 259 671 546
8  474 597 116 310 321 151 536 641 42 197 61 99 293 162 909 944
9  933 19 347 60 945 724 173 0 983 808 257 812 180 394 8 153
10  14 650 855 165 596 156 949 729 670 743 349 8 11 96 875 638
11  655 828 672 535 578 811 291 44 41 212 734 80 772 118 501 985
12  583 615 118 61 817 894 56 100 201 287 176 833 340 142 75 847
13  69 94 789 442 315 597 306 865 985 549 267 559 581 472 48 368
14  938 973 125 127 505 162 285 723 56 269 733 465 577 998 655 599
15  361 986 67 870 991 376 111 330 6 656 60 975 514 846 395 403
16  912 597 286 391 192 993 675 192 993 643 960 389 700 193 971 349
; 
 end;
