data; 
param n := 32; 
param c1:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 := 
1  390 505 506 661 373 574 236 492 383 729 166 408 237 764 180 87 917 445 400 294 574 261 239 654 918 375 58 20 833 502 265 722
2  805 800 568 552 935 972 828 139 908 447 623 253 263 917 224 669 686 502 107 465 911 523 569 987 937 206 249 284 965 607 575 498
3  422 741 248 567 887 180 886 594 583 359 844 425 294 454 77 270 272 973 589 739 684 125 692 226 673 650 795 453 911 5 911 856
4  842 729 401 669 458 362 740 772 542 509 252 821 815 514 813 748 294 724 519 428 498 541 174 237 823 251 253 224 530 174 670 857
5  328 769 316 652 417 207 786 475 245 320 169 26 928 13 70 804 436 979 259 844 233 981 483 650 966 91 993 57 194 979 307 189
6  921 786 543 286 855 157 461 949 909 719 954 270 449 683 348 358 192 254 314 65 451 235 587 27 627 540 961 757 499 337 253 154
7  819 190 967 713 216 873 481 686 190 520 390 638 246 354 552 154 866 558 32 958 43 770 817 299 581 263 688 303 232 127 83 904
8  992 695 134 93 570 968 318 470 122 56 323 526 831 492 784 628 816 829 549 451 141 85 971 433 415 477 555 935 588 352 940 938
9  59 390 825 501 145 974 936 686 300 52 547 351 199 988 390 23 951 632 996 51 263 302 671 367 340 453 305 486 637 545 195 834
10  408 49 880 70 102 566 765 866 314 762 946 508 922 188 251 751 480 95 946 616 723 20 968 179 246 271 806 965 37 438 373 241
11  569 704 279 385 569 41 941 494 434 345 876 578 486 184 328 8 910 108 113 372 280 412 200 521 16 827 65 390 0 869 322 120
12  835 461 460 136 912 35 781 58 544 497 808 785 884 350 457 639 290 760 305 190 42 571 99 292 82 85 489 869 511 941 628 229
13  135 567 898 2 271 500 520 347 327 328 212 708 457 124 392 253 708 34 620 102 622 114 144 563 238 585 396 937 789 438 284 866
14  157 726 931 810 331 929 286 11 699 496 699 232 984 48 98 586 43 748 903 72 537 27 172 758 694 196 783 137 8 483 615 859
15  717 670 832 917 356 825 337 356 497 580 403 763 24 54 298 113 956 752 438 16 865 764 232 79 393 119 333 850 259 448 439 799
16  383 974 138 865 464 429 538 396 408 721 621 683 504 998 264 917 141 362 906 75 147 595 690 181 565 149 681 384 767 121 492 536
17  348 121 220 275 156 693 99 160 156 489 705 58 564 448 860 800 819 60 579 133 540 208 590 101 538 169 926 303 358 110 93 917
18  552 825 115 987 96 501 546 238 940 24 194 594 644 718 841 648 489 432 774 589 220 554 255 435 799 916 395 11 173 507 66 772
19  49 595 595 463 137 145 965 587 112 407 201 850 827 159 392 46 922 363 552 377 37 946 148 763 302 977 651 583 634 802 906 155
20  639 552 496 427 600 48 473 580 116 297 59 691 429 687 924 142 409 478 666 235 417 410 976 325 28 51 762 852 661 38 202 836
21  729 496 291 762 805 737 954 308 673 807 197 0 841 578 117 760 258 834 766 230 516 281 46 953 794 447 809 741 138 229 299 35
22  463 228 918 659 844 69 40 133 213 635 289 634 618 496 217 765 540 863 846 522 621 54 873 239 315 845 651 841 627 16 226 416
23  92 110 851 6 613 700 345 489 561 441 633 630 820 788 574 678 90 564 942 391 807 481 37 972 511 298 937 251 334 580 858 323
24  593 888 429 39 92 814 940 935 871 483 794 667 605 10 442 541 748 948 89 502 838 919 287 807 65 485 368 657 328 803 336 272
25  546 759 429 235 868 94 91 455 812 492 488 773 67 722 21 27 862 726 515 429 322 931 898 193 238 221 213 667 3 680 741 688
26  253 685 893 457 918 945 236 11 999 802 725 280 330 519 748 809 31 253 92 427 110 133 281 554 924 207 65 391 796 978 5 895
27  109 964 202 353 634 967 220 341 682 733 189 35 886 320 845 173 104 723 40 445 956 294 833 712 962 37 861 278 151 149 87 355
28  227 45 399 997 106 682 772 20 679 218 882 859 185 899 111 881 426 608 873 405 415 680 51 563 694 453 141 195 737 492 388 159
29  310 596 770 787 642 506 242 749 559 684 10 250 480 681 966 286 336 352 602 719 998 661 881 6 775 851 561 763 913 561 420 763
30  770 823 663 589 558 971 577 920 78 183 120 347 915 766 746 696 914 313 183 58 577 551 330 121 233 32 655 940 442 828 726 982
31  103 34 567 137 194 200 556 406 862 767 488 134 866 224 244 989 977 955 218 376 35 713 320 593 778 210 850 852 460 593 52 222
32  510 459 437 671 202 631 272 621 347 127 757 899 531 629 508 476 326 292 908 176 171 905 795 387 363 268 727 875 690 150 758 978
; 
 end;
