data; 
param n := 64; 
param c1:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 := 
1  768 319 266 838 69 991 858 818 954 463 823 944 774 843 883 18 247 578 247 35 856 876 76 681 991 259 532 974 908 189 496 567 355 137 915 838 898 517 477 640 533 619 975 538 212 54 304 386 252 251 479 373 432 220 472 38 777 163 945 279 657 466 122 119
2  819 314 184 814 432 433 544 927 41 465 283 132 559 62 842 878 81 124 792 471 365 473 130 833 256 894 84 922 219 710 868 815 401 938 139 505 340 672 216 760 482 520 233 811 213 814 496 183 945 831 275 746 154 457 145 931 945 551 775 120 822 783 762 382
3  909 858 688 134 737 848 118 769 87 839 617 5 102 191 238 497 26 514 111 266 479 885 917 614 147 925 60 505 112 95 293 824 836 997 405 559 968 483 326 682 749 139 668 445 771 45 306 882 225 770 33 527 606 207 758 758 18 252 963 710 869 261 336 416
4  738 922 605 668 634 479 598 128 711 178 453 375 722 484 751 886 156 839 20 468 40 707 744 256 871 223 500 202 968 14 314 944 848 661 670 19 870 841 857 688 497 391 505 4 9 408 226 403 392 52 249 745 429 855 825 701 738 233 943 364 600 368 622 190
5  958 768 624 744 877 652 922 194 100 759 713 221 76 296 33 791 969 519 298 248 718 901 184 308 179 888 333 825 734 27 295 678 531 643 957 688 693 294 487 288 412 952 459 546 848 240 419 233 126 72 591 876 551 730 836 91 342 760 242 50 836 43 924 654
6  81 100 703 806 229 927 355 217 913 698 9 343 71 234 115 353 304 457 100 554 922 956 491 294 272 392 787 168 832 736 829 335 790 180 762 810 542 205 920 887 603 418 146 276 905 710 132 79 395 782 298 505 84 269 659 61 470 555 890 54 326 845 476 392
7  382 225 478 65 368 257 894 166 187 105 60 17 765 320 808 761 237 198 355 770 698 40 4 370 704 748 793 667 64 946 145 691 247 189 461 731 895 907 297 432 511 456 486 206 408 979 97 529 362 855 591 978 238 163 953 205 67 956 820 628 651 112 852 281
8  810 208 666 161 794 145 677 382 243 246 91 656 278 144 116 913 993 83 177 368 644 160 551 982 289 655 391 56 517 821 514 638 152 420 715 548 500 858 601 74 814 964 111 811 95 355 939 702 291 840 80 58 224 524 568 231 294 68 281 651 133 119 370 146
9  887 27 473 816 735 797 384 237 594 692 241 458 695 18 638 64 853 405 269 568 811 319 857 518 11 664 138 24 474 34 651 846 281 618 875 771 290 803 65 819 334 229 769 681 124 446 581 908 455 316 165 587 160 32 956 622 432 921 240 284 739 231 498 416
10  623 731 0 492 51 281 648 790 848 480 969 70 975 138 973 493 55 567 334 996 610 667 949 965 925 326 513 869 314 931 129 417 850 675 394 978 282 923 575 192 945 79 733 182 980 321 653 303 36 48 447 136 979 97 573 287 790 630 789 627 989 63 262 780
11  417 595 648 44 146 682 461 443 618 269 463 243 853 734 133 150 706 237 473 332 721 662 567 571 69 355 322 155 422 683 779 543 418 789 225 468 489 995 77 886 475 39 206 111 377 663 896 547 40 146 133 662 331 15 288 222 607 545 550 374 859 631 651 844
12  962 276 528 382 867 259 577 594 426 494 42 482 750 230 940 317 684 507 599 977 995 224 562 493 363 778 107 369 95 444 99 159 791 615 234 921 823 550 985 420 616 493 726 350 170 927 569 459 197 220 443 170 496 120 791 162 965 413 86 469 693 514 22 788
13  156 971 862 120 417 601 922 300 609 523 567 711 680 402 440 263 548 43 839 699 364 894 310 459 522 98 552 578 447 505 658 601 933 430 603 54 2 24 588 800 826 834 575 525 256 495 855 672 868 535 13 360 284 946 994 241 687 528 302 763 103 7 509 21
14  4 571 392 239 255 783 996 925 227 814 842 923 152 527 306 899 442 248 942 299 744 985 114 422 960 444 885 83 317 453 506 266 869 280 236 275 454 918 452 167 243 623 183 662 484 833 268 291 956 170 305 292 944 377 442 646 252 894 855 673 878 277 429 837
15  526 819 788 740 7 522 285 806 967 71 23 839 78 548 244 439 998 416 683 259 945 744 610 216 693 732 290 77 172 326 577 260 591 142 169 339 230 956 831 461 583 748 535 842 558 647 57 549 804 171 11 37 72 810 715 272 694 377 555 832 894 521 685 73
16  666 465 50 298 372 334 661 898 53 401 27 563 684 225 399 50 251 884 274 402 572 504 177 214 251 817 310 300 18 768 96 63 967 81 970 9 901 236 69 73 50 572 578 856 947 39 616 463 109 709 461 335 513 305 840 383 512 862 779 751 11 121 176 761
17  192 425 918 925 24 690 794 440 146 469 931 240 407 291 763 511 537 196 764 548 938 844 338 983 579 653 255 697 301 188 986 177 644 400 151 707 472 390 9 501 242 100 625 865 787 664 887 489 826 236 27 251 270 747 692 263 576 411 870 473 990 800 200 791
18  606 933 277 618 523 173 552 606 257 653 387 711 810 610 580 872 401 253 450 173 965 741 172 940 948 448 604 71 820 914 274 791 958 803 572 171 284 739 401 9 58 125 765 53 793 886 767 183 69 643 533 832 412 996 402 877 31 416 548 227 390 780 865 562
19  53 699 562 22 218 631 413 163 649 204 20 167 484 336 753 105 509 472 281 57 91 729 716 8 856 819 418 745 624 350 498 428 836 547 845 115 922 450 302 281 603 393 263 286 157 933 515 849 26 413 655 760 974 49 764 521 208 759 314 90 481 937 488 639
20  221 68 166 82 156 337 870 127 745 399 841 811 952 62 248 764 545 941 266 951 179 57 371 275 939 949 740 212 928 132 109 611 706 602 744 882 120 691 490 78 93 753 975 766 463 56 158 204 859 778 334 14 871 194 640 485 525 964 858 636 147 957 9 412
21  251 172 846 703 985 145 834 418 34 699 650 509 582 982 505 640 125 578 879 225 420 840 311 645 875 745 6 793 11 284 884 509 399 802 611 100 669 789 862 895 765 316 747 687 588 681 898 27 613 878 178 522 799 163 368 706 394 358 461 601 792 492 393 749
22  645 87 128 401 866 644 44 519 975 905 440 448 488 48 839 417 699 283 463 527 241 219 890 501 290 992 448 298 130 378 328 603 61 7 759 340 322 385 848 615 779 611 824 893 609 571 516 822 119 914 870 816 142 295 166 423 133 222 407 529 248 318 34 653
23  167 994 715 964 370 315 470 128 907 312 809 792 437 120 848 330 460 97 641 440 212 517 44 354 665 509 503 674 418 682 79 334 54 254 880 771 700 590 813 169 130 741 255 535 710 977 780 468 907 306 574 694 880 688 541 837 862 954 387 436 679 489 169 920
24  754 329 890 108 393 689 723 820 954 870 362 341 756 128 823 817 245 358 720 138 949 394 699 506 242 307 214 670 797 325 320 765 864 918 454 816 198 142 464 187 547 539 303 722 87 796 851 878 103 850 340 870 495 352 691 763 422 218 901 465 489 496 276 793
25  419 942 929 129 59 500 457 698 929 336 117 183 239 228 146 181 450 857 97 42 25 6 179 702 931 745 644 484 882 447 178 236 10 864 150 812 894 562 256 659 404 725 845 184 858 729 689 657 344 871 512 635 875 375 918 289 268 105 673 539 230 419 485 621
26  161 255 499 563 624 844 781 52 243 430 916 351 51 954 706 243 929 995 663 475 871 156 612 787 214 684 276 429 884 361 137 16 946 608 235 659 451 310 799 590 625 62 785 925 965 435 461 755 679 382 134 509 223 69 25 432 387 288 49 21 503 89 982 513
27  867 413 68 844 386 336 657 15 811 996 824 482 636 378 299 997 900 935 215 321 687 456 333 362 55 648 421 582 522 702 438 967 969 467 983 483 27 943 263 654 590 510 455 879 79 688 942 126 475 241 355 903 961 132 732 793 195 177 408 366 869 239 417 992
28  220 446 315 953 589 262 316 218 956 154 541 472 625 265 33 268 859 767 858 678 344 480 295 444 802 974 628 442 927 591 490 193 126 721 76 289 179 267 787 853 44 387 23 566 514 533 928 382 328 303 836 768 638 803 76 215 449 78 565 782 753 662 309 658
29  607 424 529 82 330 740 654 447 317 455 807 131 737 231 742 371 476 655 409 516 296 920 470 115 96 974 83 589 544 784 275 699 119 767 13 619 771 500 881 173 998 521 902 751 125 444 639 450 963 582 156 257 835 17 817 437 151 346 182 883 351 370 454 839
30  23 610 20 286 464 873 648 300 756 44 807 839 691 895 383 760 510 997 812 335 479 744 260 185 777 86 20 336 45 834 752 50 212 275 517 206 878 420 836 238 639 409 151 94 219 477 124 230 147 403 220 379 72 564 849 752 455 544 169 348 536 746 328 247
31  978 618 524 140 515 906 756 842 262 808 577 207 107 40 448 693 709 585 534 818 223 352 901 846 790 36 129 389 233 245 267 22 138 343 938 631 693 528 129 967 236 370 884 817 457 428 669 249 588 558 663 655 715 243 603 664 572 597 93 574 764 702 497 638
32  403 572 610 398 573 384 324 264 859 539 412 725 417 766 370 881 721 754 978 488 155 731 869 325 89 989 956 501 943 627 957 263 3 657 665 982 436 201 829 234 45 705 679 347 768 992 203 317 846 467 256 777 879 18 451 541 679 951 584 333 982 835 19 464
33  557 257 85 643 211 306 994 533 512 85 271 425 768 648 927 147 995 544 886 366 106 612 288 547 548 708 317 129 958 854 156 945 194 644 526 505 256 850 3 519 216 852 979 984 245 913 705 185 241 329 314 258 339 175 119 276 822 725 741 430 531 587 856 534
34  930 281 400 950 383 282 110 57 33 512 185 537 931 892 648 84 694 854 748 627 20 626 334 785 863 711 696 90 907 221 800 425 285 630 197 265 140 74 122 567 698 539 501 549 59 147 607 201 751 281 103 95 433 481 85 936 824 873 539 360 55 393 274 665
35  157 226 59 538 335 691 124 332 986 253 659 140 202 489 222 710 593 596 205 252 857 461 641 319 461 424 658 219 173 597 840 896 944 993 609 800 818 818 468 43 149 946 643 46 364 12 206 965 929 552 241 423 968 334 993 428 190 335 233 960 405 846 254 342
36  915 809 23 427 507 833 0 606 597 270 83 824 317 377 902 121 995 858 458 691 497 18 712 92 402 341 252 21 804 584 638 48 836 325 354 779 670 529 542 191 837 857 889 313 199 350 65 987 801 624 113 169 128 925 54 147 16 196 768 68 549 847 896 372
37  836 33 114 97 446 90 625 532 655 209 138 342 349 589 914 152 628 53 673 515 655 565 319 366 293 177 418 331 413 673 383 722 533 583 90 654 632 312 467 484 550 818 215 685 400 679 420 341 775 383 268 710 381 391 453 635 892 841 181 181 475 764 825 544
38  408 349 427 141 704 79 209 822 422 555 197 270 620 417 858 32 556 79 387 73 776 898 912 380 185 27 393 970 88 398 488 564 420 248 948 322 102 85 394 290 502 292 495 641 501 351 590 323 548 276 832 532 380 973 759 240 811 112 10 108 95 589 598 278
39  886 807 731 921 752 810 699 908 539 788 737 660 605 563 120 39 86 473 915 147 951 493 27 1 488 519 118 400 296 498 6 688 598 480 937 776 847 739 913 519 236 816 910 469 646 708 379 106 13 472 911 879 877 172 325 767 72 466 700 627 160 93 112 291
40  196 216 879 228 878 842 177 595 932 543 744 698 839 298 274 157 673 572 756 612 818 663 690 388 869 975 644 380 793 64 29 324 792 275 354 767 909 290 454 285 536 159 351 919 488 240 483 400 161 12 998 419 622 904 699 138 190 126 8 142 155 981 6 245
41  841 298 212 933 103 437 272 718 714 760 115 360 825 618 493 731 822 662 998 88 469 717 823 642 164 562 535 624 524 704 95 480 261 622 186 454 509 37 696 557 325 474 827 857 103 736 900 100 993 968 379 890 277 657 31 49 799 244 412 341 214 50 71 406
42  809 847 965 648 79 721 565 798 100 845 72 67 936 398 948 125 4 142 726 599 356 112 651 464 285 453 282 454 537 696 599 596 698 657 519 65 957 720 972 822 582 460 870 924 889 447 330 954 422 602 539 765 313 648 474 622 560 51 512 847 23 346 655 303
